Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/10, 12:19 AM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7","4.0V 85%"
"3/10, 12:19 AM","MFMQ","0","MQTT","","NODEINFO_APP","3 / 4","Murphys MQTT"
"3/10, 12:20 AM","0xFC to MFMQ","","","","TRACEROUTE","",""
"3/10, 12:20 AM","MFMP","0","MQTT","","POSITION_APP","3 / 5","(38.142, -120.403) 1029m asl"
"3/10, 12:20 AM","!9cdcebd0","0","","","TELEMETRY_APP","1 / 7",""
"3/10, 12:20 AM","MP","0","","","TELEMETRY_APP","3 / 7","3.7V 52%"
"3/10, 12:21 AM","elxx","0","","","POSITION_APP","2 / 7","(37.985, -120.298) 691m asl"
"3/10, 12:21 AM","0xFC","0","","","TELEMETRY_APP","",""
"3/10, 12:21 AM","!698284dc","0","","","POSITION_APP","5 / 5","(36.956, -119.754) 163m asl"
"3/10, 12:22 AM","GG01","0","","","POSITION_APP","2 / 5","(37.985, -120.403) 629m asl"
"3/10, 12:22 AM","0xFC to GG01","","","","TRACEROUTE","",""
"3/10, 12:22 AM","GG01 to 0xFC","0","","","TRACEROUTE_APP","1 / 5","0xFC -> MT -> enrr -> !a9e00e2f -> GG01"
"3/10, 12:22 AM","2bef","0","MQTT","","TELEMETRY_APP","3 / 3",""
"3/10, 12:23 AM","2bef","0","MQTT","","TELEMETRY_APP","3 / 3","4.1V 94%"
"3/10, 12:23 AM","2bef to MYR1","0","MQTT","","NODEINFO_APP","3 / 3","Meshtastic 2bef"
"3/10, 12:26 AM","MT","0","5","-57","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/10, 12:27 AM","!79cfdddc","0","","","TELEMETRY_APP","2 / 3","0.0V 101%"
